Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(90,120]",3360101,BAJA RESPUESTA,0.718525779,
2022/2023,"(90,120]",3360102,ALTA RESPUESTA,0.66895132,
2022/2023,"(90,120]",3360102,BAJA RESPUESTA,0.717774663,
2022/2023,"(90,120]",3360103,ALTA RESPUESTA,0.712222193,
2022/2023,"(90,120]",3360103,BAJA RESPUESTA,0.714747189,
2022/2023,"(90,120]",3360104,ALTA RESPUESTA,0.7013792,
2022/2023,"(90,120]",3360104,BAJA RESPUESTA,0.698775178,
2022/2023,"(90,120]",3540109,ALTA RESPUESTA,0.746128127,
2022/2023,"(90,120]",3540109,BAJA RESPUESTA,0.730160958,
2022/2023,"(90,120]",3540110,ALTA RESPUESTA,0.630908803,
2022/2023,"(90,120]",3540111,BAJA RESPUESTA,0.626117945,
2023/2024,"(0,30]",120105,BAJA RESPUESTA,0.19900423,
2023/2024,"(0,30]",150103,BAJA RESPUESTA,0.248044407,
2023/2024,"(0,30]",150104,BAJA RESPUESTA,0.268679626,
2023/2024,"(0,30]",150203,ALTA RESPUESTA,0.25568918,
2023/2024,"(0,30]",150203,BAJA RESPUESTA,0.244227499,
2023/2024,"(0,30]",150204,ALTA RESPUESTA,0.277337192,
2023/2024,"(0,30]",150204,BAJA RESPUESTA,0.274416394,
2023/2024,"(0,30]",150401,ALTA RESPUESTA,0.27636729,
2023/2024,"(0,30]",150401,BAJA RESPUESTA,0.285120164,
2023/2024,"(0,30]",620101,ALTA RESPUESTA,0.278421553,
2023/2024,"(0,30]",620101,BAJA RESPUESTA,0.241420049,
2023/2024,"(0,30]",620103,ALTA RESPUESTA,0.30033779,
2023/2024,"(0,30]",620103,BAJA RESPUESTA,0.27768224,
2023/2024,"(0,30]",620202,BAJA RESPUESTA,0.292625104,
2023/2024,"(0,30]",3360103,ALTA RESPUESTA,0.236284793,
2023/2024,"(0,30]",3360103,BAJA RESPUESTA,0.227427448,
2023/2024,"(120,150]",120101,BAJA RESPUESTA,0.684673194,
2023/2024,"(120,150]",120102,BAJA RESPUESTA,0.676642037,
2023/2024,"(120,150]",120103,BAJA RESPUESTA,0.6224691,
2023/2024,"(120,150]",300101,ALTA RESPUESTA,0.671528481,
2023/2024,"(120,150]",300101,BAJA RESPUESTA,0.610277622,
2023/2024,"(120,150]",300102,ALTA RESPUESTA,0.752824563,
2023/2024,"(120,150]",300103,ALTA RESPUESTA,0.71455626,
2023/2024,"(120,150]",300103,BAJA RESPUESTA,0.67060847,
2023/2024,"(120,150]",300104,ALTA RESPUESTA,0.722065477,
2023/2024,"(120,150]",300104,BAJA RESPUESTA,0.624474513,
2023/2024,"(120,150]",300105,ALTA RESPUESTA,0.48850912,
2023/2024,"(120,150]",300105,BAJA RESPUESTA,0.456440256,
2023/2024,"(120,150]",300106,ALTA RESPUESTA,0.612669926,
2023/2024,"(120,150]",300106,BAJA RESPUESTA,0.633455297,
2023/2024,"(120,150]",300107,ALTA RESPUESTA,0.678434218,
2023/2024,"(120,150]",300107,BAJA RESPUESTA,0.667238744,
2023/2024,"(120,150]",300108,ALTA RESPUESTA,0.615559909,
2023/2024,"(120,150]",300108,BAJA RESPUESTA,0.65553636,
2023/2024,"(120,150]",300109,ALTA RESPUESTA,0.644509644,
2023/2024,"(120,150]",300110,ALTA RESPUESTA,0.653964136,
2023/2024,"(120,150]",300110,BAJA RESPUESTA,0.62744408,
2023/2024,"(120,150]",300111,ALTA RESPUESTA,0.520443395,
2023/2024,"(120,150]",300112,ALTA RESPUESTA,0.591615809,
2023/2024,"(120,150]",300112,BAJA RESPUESTA,0.44890269,
2023/2024,"(120,150]",300113,ALTA RESPUESTA,0.48485328,
2023/2024,"(120,150]",300113,BAJA RESPUESTA,0.5692443,
2023/2024,"(120,150]",300301,ALTA RESPUESTA,0.628699286,
2023/2024,"(120,150]",300301,BAJA RESPUESTA,0.533386924,
2023/2024,"(120,150]",300302,ALTA RESPUESTA,0.635912992,
2023/2024,"(120,150]",300303,ALTA RESPUESTA,0.704933401,
2023/2024,"(120,150]",300303,BAJA RESPUESTA,0.692600495,
2023/2024,"(120,150]",300305,ALTA RESPUESTA,0.564166735,
2023/2024,"(120,150]",300305,BAJA RESPUESTA,0.580437872,
2023/2024,"(120,150]",300306,ALTA RESPUESTA,0.576551163,
2023/2024,"(120,150]",300306,BAJA RESPUESTA,0.652572904,
2023/2024,"(120,150]",300310,ALTA RESPUESTA,0.706622465,
2023/2024,"(120,150]",300310,BAJA RESPUESTA,0.715338254,
2023/2024,"(120,150]",3360101,ALTA RESPUESTA,0.769633401,
2023/2024,"(120,150]",3360101,BAJA RESPUESTA,0.748813381,
2023/2024,"(120,150]",3360102,ALTA RESPUESTA,0.717475138,
2023/2024,"(120,150]",3360102,BAJA RESPUESTA,0.724497654,
2023/2024,"(120,150]",3360103,ALTA RESPUESTA,0.732995727,
2023/2024,"(120,150]",3360103,BAJA RESPUESTA,0.721815205,
2023/2024,"(120,150]",3360104,ALTA RESPUESTA,0.693756645,
2023/2024,"(120,150]",3360104,BAJA RESPUESTA,0.699203564,
2023/2024,"(30,60]",120101,BAJA RESPUESTA,0.366230836,
2023/2024,"(30,60]",120102,BAJA RESPUESTA,0.353647422,
2023/2024,"(30,60]",120103,BAJA RESPUESTA,0.381085021,
2023/2024,"(30,60]",120105,BAJA RESPUESTA,0.274271579,
2023/2024,"(30,60]",120106,BAJA RESPUESTA,0.39275138,
2023/2024,"(30,60]",120110,BAJA RESPUESTA,0.451395291,
2023/2024,"(30,60]",120113,BAJA RESPUESTA,0.47872616,
2023/2024,"(30,60]",150101,ALTA RESPUESTA,0.448657634,
2023/2024,"(30,60]",150101,BAJA RESPUESTA,0.465292628,
2023/2024,"(30,60]",150102,ALTA RESPUESTA,0.468250544,
2023/2024,"(30,60]",150102,BAJA RESPUESTA,0.444533197,
2023/2024,"(30,60]",150103,BAJA RESPUESTA,0.384932377,
2023/2024,"(30,60]",150104,BAJA RESPUESTA,0.407420619,
2023/2024,"(30,60]",150201,ALTA RESPUESTA,0.387942959,
2023/2024,"(30,60]",150201,BAJA RESPUESTA,0.394925083,
2023/2024,"(30,60]",150202,ALTA RESPUESTA,0.402881014,
2023/2024,"(30,60]",150202,BAJA RESPUESTA,0.403598744,
2023/2024,"(30,60]",150203,ALTA RESPUESTA,0.375148441,
2023/2024,"(30,60]",150203,BAJA RESPUESTA,0.392619895,
2023/2024,"(30,60]",150204,ALTA RESPUESTA,0.46249182,
2023/2024,"(30,60]",150204,BAJA RESPUESTA,0.462610435,
2023/2024,"(30,60]",150401,ALTA RESPUESTA,0.343446191,
2023/2024,"(30,60]",150401,BAJA RESPUESTA,0.354096769,
2023/2024,"(30,60]",300108,ALTA RESPUESTA,0.408446068,
2023/2024,"(30,60]",300108,BAJA RESPUESTA,0.338172999,
2023/2024,"(30,60]",300111,ALTA RESPUESTA,0.301566313,
2023/2024,"(30,60]",300112,ALTA RESPUESTA,0.322741423,
2023/2024,"(30,60]",300112,BAJA RESPUESTA,0.272152136,
2023/2024,"(30,60]",300301,ALTA RESPUESTA,0.36348528,
2023/2024,"(30,60]",300301,BAJA RESPUESTA,0.390698261,
2023/2024,"(30,60]",300302,ALTA RESPUESTA,0.381829518,
2023/2024,"(30,60]",300303,ALTA RESPUESTA,0.575068477,
2023/2024,"(30,60]",300303,BAJA RESPUESTA,0.570943244,
2023/2024,"(30,60]",300305,ALTA RESPUESTA,0.309012332,
